StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,...18,...19,Pref. (Black asc.),Pref. (Black desc.),Pref. explanation,Birth year,Gender,Gender_5_TEXT,Hispanic,Race,Political aff.,Political aff._4_TEXT,Independent Q,Education,Income
2023-12-21 12:51:50,2023-12-21 12:56:40,100,290,True,2023-12-21 12:56:41,R_5o6CesgsjU6kmcV,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,It's more fair to provide adequate monetary fees to those who lives farthest  from the court house,NA,Woman,NA,No,Other,Democrat,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 12:55:17,2023-12-21 12:58:47,100,210,True,2023-12-21 12:58:48,R_6RsDi13kypzmRjP,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,I chose based on the amount of people that would avoid going to jail.  The larger amount of people going to jail would put an extra monetary burden on the city budget.,1972,Woman,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000 to $59,999"
2023-12-21 13:00:18,2023-12-21 13:03:24,100,185,True,2023-12-21 13:03:24,R_3POjTmTQ48mFzKN,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I believe the only fair thing to do is split the money equally.,1984,Man,NA,No,White or Caucasian,Republican,NA,NA,"Some college, but no degree","$30,000 to $39,999"
2023-12-21 13:00:59,2023-12-21 13:03:47,100,168,True,2023-12-21 13:03:47,R_30epNnSfKYFYlKE,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,I chose that because in the original text it stated that Black people live further thus their rides cost more.,1987,Woman,NA,No,Black or African American,Independent,NA,Democrat,Bachelor’s degree,"$60,000 to $69,999"
2023-12-21 13:02:44,2023-12-21 13:03:57,100,72,True,2023-12-21 13:03:57,R_6yeyf3z1zh34JLv,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option A,NA,I house what's best for me,1987,Man,NA,No,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$50,000 to $59,999"
2023-12-21 13:04:55,2023-12-21 13:06:39,100,104,True,2023-12-21 13:06:40,R_7iyrHTQGntQPtdv,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,its equal,2002,Woman,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"Less than $10,000"
2023-12-21 13:08:42,2023-12-21 13:10:21,100,99,True,2023-12-21 13:10:22,R_7fqkjtjMYq3UGrv,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I think its fair,1985,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,High school diploma or GED,"Less than $10,000"
2023-12-21 13:09:13,2023-12-21 13:10:55,100,102,True,2023-12-21 13:10:56,R_7g5ahnpqmz3xkHN,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,more people stay out of jail,1990,Woman,NA,No,American Indian/Native American or Alaska Native,Republican,NA,NA,"Some college, but no degree","$100,000 to $149,999"
2023-12-21 13:15:54,2023-12-21 13:17:49,100,114,True,2023-12-21 13:17:50,R_1IFUDcpSX0ALVax,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,I would allocate more money towards Black communities because of the statistics involved that show that more Black people live farther from the courthouse.,1995,Woman,NA,No,Black or African American,Democrat,NA,NA,Bachelor’s degree,"$30,000 to $39,999"
2023-12-21 13:17:00,2023-12-21 13:18:34,100,94,True,2023-12-21 13:18:35,R_6ozDVgdXdFY6cPm,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Chose the option where Most people didn’t go to jail,1961,Man,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 13:17:01,2023-12-21 13:18:46,100,105,True,2023-12-21 13:18:46,R_5WuOiupK1XSzQ6l,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,More people avoid jail,1988,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","$50,000 to $59,999"
2023-12-21 13:17:07,2023-12-21 13:19:20,100,132,True,2023-12-21 13:19:20,R_3ZBpeUEKMX6KWkl,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,While not a even amount if seems more fair,1972,Woman,NA,No,Black or African American,Democrat,NA,NA,Bachelor’s degree,"$50,000 to $59,999"
2023-12-21 13:17:56,2023-12-21 13:20:04,100,127,True,2023-12-21 13:20:05,R_6i3d53IgARfZA0i,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,I wanted to give more to black people because transportation costs them more.,1992,Woman,NA,No,Asian,Democrat,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 13:20:04,2023-12-21 13:21:51,100,107,True,2023-12-21 13:21:51,R_5qVU6XcYA7vBv7l,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,I think it helps offset the higher cost for black people but also still helps some white people too.,1986,Woman,NA,No,"White or Caucasian,American Indian/Native American or Alaska Native",Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2023-12-21 13:19:44,2023-12-21 13:22:17,100,153,True,2023-12-21 13:22:17,R_6ALtRNhtKjQYijw,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It seems like it provides the best balance between black and white participants while helping a large amount of people,1987,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Prefer not to say
2023-12-21 13:21:07,2023-12-21 13:22:33,100,86,True,2023-12-21 13:22:34,R_1m4UiHlUkSkxq6J,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,"Because blacks get sent to jail at a much higher proportion to whites, so how about evening that out a bit",1987,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$70,000 to $79,999"
2023-12-21 13:22:06,2023-12-21 13:24:17,100,130,True,2023-12-21 13:24:17,R_7yrNbZjZc4cNwRF,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,seems eqitable,1976,Woman,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 13:56:43,2023-12-21 13:57:23,100,40,True,2023-12-21 13:57:24,R_1MPXbH2PIuwHer9,NA,NA,NA,NA,anonymous,EN,5 people who live close to court,5 White people,NA,Option E,TRUE RESPONSES AFTER THIS RESPONSE,2023,Man,NA,No,Other,Other,TKTK,NA,Prefer not to say,Prefer not to say
2023-12-21 14:02:00,2023-12-21 14:05:06,100,185,True,2023-12-21 14:05:07,R_1fKssx21RM4dYFb,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I think it should be the same regardless and not based on race at all,1974,Woman,NA,No,White or Caucasian,Republican,NA,NA,High school diploma or GED,"$100,000 to $149,999"
2023-12-21 14:05:07,2023-12-21 14:09:03,100,235,True,2023-12-21 14:09:03,R_7B9dGHyRplQ4UKZ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,allocating more $$ to black people didn't result more people avoiding jail despite the cost difference. allocating more $$ to white people results in fewer going to jail (doesn't make sense with info given) but is unfair as it seems as though they could walk or cover their own rides since they are closer. equal allocation seems fairest,1997,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$20,000 to $29,999"
2023-12-21 14:09:19,2023-12-21 14:13:27,100,247,True,2023-12-21 14:13:27,R_5CqU1lafaUUulmA,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,"Because the white people are closer to the courthouse, more black people should be given a fair chance to avoid jail.",1991,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$90,000 to $99,999"
2023-12-21 14:23:47,2023-12-21 14:25:48,100,120,True,2023-12-21 14:25:49,R_3kh6CZ4Ek9y7cDs,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,I chose the option that ended with the least amount of people in jail,1999,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$80,000 to $89,999"
2023-12-21 14:27:44,2023-12-21 14:29:15,100,90,True,2023-12-21 14:29:15,R_5xK3mRomXSR2bAw,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It is the most fair and the second most helpful,1994,Man,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$100,000 to $149,999"
2023-12-21 14:29:10,2023-12-21 14:31:45,100,155,True,2023-12-21 14:31:46,R_1S0PgyHV0sZCZhu,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It had the best balance of fairness and also keeping a high amount of people from jail,1983,Man,NA,No,White or Caucasian,No preference,NA,NA,"Some college, but no degree","$30,000 to $39,999"
2023-12-21 14:32:06,2023-12-21 14:34:30,100,143,True,2023-12-21 14:34:30,R_5KkzBMk6V45FQZn,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,i went with my decision using intuition/analytical thinking best i can for research purposes,1989,Man,NA,Yes,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$10,000 to $19,999"
2023-12-21 14:38:16,2023-12-21 14:40:09,100,112,True,2023-12-21 14:40:09,R_5mfy5P7VDgt34Hb,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,The ones who live farther from the court should be given more money.,1989,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$90,000 to $99,999"
2023-12-21 14:37:20,2023-12-21 14:41:18,100,237,True,2023-12-21 14:41:18,R_66nybp2HM1MDkZT,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,I think the money should be given equally considering the amount of people who can avoid jail and there will be no resentment if the groups were given equal amounts of money for job sharing.,1961,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$80,000 to $89,999"
2023-12-21 14:47:56,2023-12-21 14:50:47,100,170,True,2023-12-21 14:50:47,R_3R8nhENi90NlA5M,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option A,NA,I chose this because in that scenario less people end up going to jail.,1993,Man,NA,No,Black or African American,Democrat,NA,NA,"Some college, but no degree","$20,000 to $29,999"
2023-12-21 14:45:47,2023-12-21 14:51:59,100,372,True,2023-12-21 14:52:00,R_3rifXMWieEoXsa6,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Fair is fair .  $5 both ways is the most fair way,1967,Man,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","$30,000 to $39,999"
2023-12-21 14:49:24,2023-12-21 14:52:34,100,189,True,2023-12-21 14:52:35,R_6EiyywHxHqbhHR5,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,I was going to choose more money to blacks but if I split it more people avoided jail,1973,Woman,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"Less than $10,000"
